'CanonicalRoots.rootPoint_ne_origin_of_coordinate_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicSplitPolynomial' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicSplitPolynomial_monic' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicSplitPolynomial_natDegree' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicAdjoinEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicPowerBasis' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicPowerBasis_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicMonomialBasis' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicMonomialBasis_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicPolynomialMap' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicPolynomialMap_relation' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicQuotientMap' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicQuotientMap_mk' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicImageExponent' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicImageExponent_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicQuotientMap_basis' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicQuotientMap_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicImageExponent_range_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.coeff_cyclicQuotientMap_eq_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.mem_cyclicQuotientMap_range_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicPlaneHom' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicMonomialValue' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicPlaneHom_monomial' depends on axioms: [propext, Classical.choice, Quot.sound]
